1234567891,9687065108
1234567891,8309368069
1234567892,3014419522
1234567892,2033826998
1234567893,5304090813
1234567893,4708884930
1234567893,1261714995
1234567894,6198775124
1234567894,4749749766
1234567894,8309368069
1234567895,7006054076
1234567896,6837501810
1234567896,6010689544
1234567896,7938628342
1234567897,7665354776
1234567898,1710683926
1234567899,6309818165
1234567899,1017463816
1234567899,7623112508
1234567900,4492422432
1234567901,4749749766
1234567902,9428606653
1234567903,5312931282
1234567904,5312931282
1234567905,5312931282
1234567906,7665354776
1234567907,9964084699
1234567907,7938628342
1234567907,8641031995
1234567908,7665354776
1234567909,5446987427
